index	chapter	file	line	kind	voice	source	translation	terms
4017	18	noel2_008.dsf	108	dialogue	vfnoel2_008jof001	【話者：女性端役（JOF）／中文名：女性端役（JOF）】「いくら？」	「多少钱？」	[]
4018	18	noel2_008.dsf	113	dialogue	vfnoel2_008joe002	【話者：女性端役（JOE）／中文名：女性端役（JOE）】「欲しい！」	「好想要！」	[]
4019	18	noel2_008.dsf	118	dialogue	vfnoel2_008jod002	【話者：女性端役（JOD）／中文名：女性端役（JOD）】「これもかわいい！」	「这个也好可爱！」	[]
4020	18	noel2_008.dsf	123	dialogue	vfnoel2_008joe003	【話者：女性端役（JOE）／中文名：女性端役（JOE）】「かわいい！」	「好可爱！」	[]
4021	18	noel2_008.dsf	128	dialogue	vfnoel2_008jof002	【話者：女性端役（JOF）／中文名：女性端役（JOF）】「かわいい！」	「好可爱！」	[]
4022	18	noel2_008.dsf	133	dialogue	vfnoel2_008jod003	【話者：女性端役（JOD）／中文名：女性端役（JOD）】「かーわいいー！　ほっしーい！」	「好——可——爱——！好——想——要——！」	[]
4023	18	noel2_008.dsf	138	dialogue	vfnoel2_008noe000	【話者：吉川ノエル／中文名：吉川诺艾尔】「……ぐえ」	「……呃。」	[]
4024	18	noel2_008.dsf	142	narration		少女たちの柔らかい体がぶつかり、押し付けられ、挟まれる。	少女们柔软的身体撞上来，挤压着她，将她夹在中间。	[]
4025	18	noel2_008.dsf	146	narration		そこここで膨らむ、虫の大群の羽音のようなおしゃべりの声。	四处膨胀开来的谈笑声，宛如大群昆虫振翅的嗡鸣。	[]
4026	18	noel2_008.dsf	150	narration		圧倒され、ノエルはむっつりと黙り込み、薄色の瞳を据わらせた。	被这阵势压倒，诺艾尔阴沉着脸默不作声，浅色眼眸也渐渐发直。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4027	18	noel2_008.dsf	154	narration		胸焼けが再発したのは、ケーキのせいではないだろう。	烧心感再次发作，恐怕并不是蛋糕的缘故。	[]
4028	18	noel2_008.dsf	158	narration		さして広くもない店内は、制服姿の少女たちで満杯だ。あちこちからかわいいの、かわいくないのと、黄色い囀りがサラウンド状態でノエルの鼓膜を直撃する。	不算宽敞的店内挤满了身穿制服的少女。四面八方此起彼伏的“可爱”“不可爱”，化作尖细的莺声，以环绕声之势直击诺艾尔的耳膜。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4029	18	noel2_008.dsf	163	dialogue	vfnoel2_008rri001	【話者：天崎理理／中文名：天崎理理】「あ、雪野！　先週見てたリングがセールになってる！」	「啊，雪野！上周看上的那个戒指打折了！」	[]
