id	file	line	kind	voice	source	translation
noel0_001.dsf:137	noel0_001.dsf	137	narration		　こみ上げる、制御しきれぬ力が、ノエルの声を掠(かす)れさせた。	涌动而出、无法抑制的力量，让诺艾尔的声音变得喑哑。
noel0_001.dsf:139	noel0_001.dsf	139	narration		　と、通信回線が開く。	这时，通讯线路开启了。
noel0_001.dsf:141	noel0_001.dsf	141	narration		　ノエルはヘッドホンを耳に押し付け、風の叫びに吹き散らされそうなオペレーターの声を貪る。	诺艾尔将耳机紧紧压在耳上，贪婪地捕捉着几乎要被呼啸风声吹散的通讯员话音。
noel0_001.dsf:144	noel0_001.dsf	144	dialogue	vfnoel0_001ope000	『地上部隊は作戦を完了。撤退を開始する。降下戦闘準備は』	『地面部队已完成作战，开始撤退。空降作战准备情况如何？』
noel0_001.dsf:147	noel0_001.dsf	147	dialogue	vfnoel0_001noe002	「できてる。いつでも出られる」	「准备好了。随时可以出击」
noel0_001.dsf:149	noel0_001.dsf	149	narration		　インカムに応え、操縦士を見る。操縦士は片手を上げて、こちらも了解の合図。	通过耳麦作答后，她看向飞行员。飞行员举起一只手，示意自己也已明白。
noel0_001.dsf:155	noel0_001.dsf	155	narration		　ブラックホークは優雅に機首を下げ、なめらかに旋回を開始する。	「黑鹰」直升机优雅地压低机头，平稳地开始转向。
noel0_001.dsf:158	noel0_001.dsf	158	dialogue	vfnoel0_001ope001	『残存勢力を殲滅し、部隊の撤退を援護せよ。一匹も叩き漏らすな。完全なる任務の遂行を期待する。行動開始』	『歼灭残余势力，掩护部队撤退。一只都不准放过。务必彻底完成任务。开始行动』
noel0_001.dsf:161	noel0_001.dsf	161	dialogue	vfnoel0_001noe003	「了解」	「了解」
noel0_001.dsf:163	noel0_001.dsf	163	narration		　ノエルはヘッドセットを外した。	诺艾尔摘下了耳麦。
noel0_001.dsf:165	noel0_001.dsf	165	narration		　出撃命令は、あまりにも短い。	出击命令短得过分。
noel0_001.dsf:167	noel0_001.dsf	167	narration		　しかし、十分。	但是，足够了。
noel0_001.dsf:169	noel0_001.dsf	169	narration		　殲滅――すべての命を、夜に屠る。	歼灭——将一切生命，屠戮于夜色之中。
noel0_001.dsf:171	noel0_001.dsf	171	narration		　それだけで十分だ。	光是这样就足够了。
noel0_001.dsf:180	noel0_001.dsf	180	narration		　立ち上がり、下界を眺める天使の仕草で、遥か眼下の森を見下ろす。	她站起身，以天使俯瞰下界般的姿态，望向遥远下方的森林。
noel0_001.dsf:182	noel0_001.dsf	182	narration		　装備は皆無。	没有任何装备。
noel0_001.dsf:184	noel0_001.dsf	184	narration		　ただ、その身ひとつ。	仅凭这一具身体。
noel0_001.dsf:186	noel0_001.dsf	186	narration		　サイズの合っていない大きすぎるベンチコートを脱ぎ捨て、ノエルの姿はほぼ全裸になる。パラシュートはいらない。防弾チョッキも、ヘルメットも、銃もナイフもいらない。	脱下尺寸不合、过于宽大的防寒大衣后，诺艾尔已近乎全裸。不需要降落伞。防弹衣、头盔、枪械、匕首，全都不需要。
noel0_001.dsf:193	noel0_001.dsf	193	narration		　命ずるだけ。	只需下令。
noel0_001.dsf:195	noel0_001.dsf	195	narration		　右手。	右手。
noel0_001.dsf:197	noel0_001.dsf	197	narration		　左手。	左手。
noel0_001.dsf:199	noel0_001.dsf	199	narration		　右足。	右脚。
noel0_001.dsf:201	noel0_001.dsf	201	narration		　左足。	左脚。
noel0_001.dsf:203	noel0_001.dsf	203	narration		　私の身体。眼球。鼓膜。すべての臓器。	我的身体。眼球。鼓膜。所有的器官。
noel0_001.dsf:205	noel0_001.dsf	205	narration		　脳。	大脑。
noel0_001.dsf:207	noel0_001.dsf	207	narration		　神経。	神经。
noel0_001.dsf:209	noel0_001.dsf	209	narration		　私を作る、細胞たち。	构成我的细胞们。
noel0_001.dsf:211	noel0_001.dsf	211	narration		　――命という命を、狩り尽くせ。	——将一切生命猎杀殆尽。
noel0_001.dsf:221	noel0_001.dsf	221	narration		　真下から顔面にぶち当たる風圧、浅く何度か呼吸。	风压从正下方狠狠撞上脸庞。几次浅浅的呼吸。
noel0_001.dsf:223	noel0_001.dsf	223	narration		　吐息に混じる血腥(ちなまぐさ)さ、瞳孔は脈打つように収縮と散開を繰り返し、	呼出的气息中混着血腥味，瞳孔如脉搏般反复收缩、扩张，
noel0_001.dsf:226	noel0_001.dsf	226	dialogue	vfnoel0_001noe004	"「…… ""エマノンの正義と、新世界のために"" 」"	「……“为了埃玛农的正义，也为了新世界”」
noel0_001.dsf:228	noel0_001.dsf	228	narration		　逆賊誅すべし。	逆贼当诛。
noel0_001.dsf:230	noel0_001.dsf	230	narration		　声は、かき消された。	声音被淹没了。
noel0_001.dsf:232	noel0_001.dsf	232	narration		　グリップから指が離れた。	手指松开了握把。
noel0_001.dsf:234	noel0_001.dsf	234	narration		　小さな素足が、タラップを蹴った。	小小的赤足蹬离了舷梯。
noel0_001.dsf:236	noel0_001.dsf	236	narration		　白い身体が一瞬浮いて、投げ出されるまま自由落下の速度に乗る。	白皙的身体瞬间腾空，就这样被抛向外侧，顺势进入自由落体。
noel0_001.dsf:260	noel0_001.dsf	260	narration		　真っ逆さま。	倒栽而下。
noel0_001.dsf:262	noel0_001.dsf	262	narration		　身体を垂直にして空気の層を貫く。ブラックホークの腹が離れていく。容赦のない上空の風は、ただまっすぐに貫けばいい。	身体保持垂直，贯穿层层空气。「黑鹰」直升机的机腹渐渐远去。迎着无情的高空狂风，只管笔直穿透。
noel0_001.dsf:264	noel0_001.dsf	264	narration		　地上へ。	冲向地面。
noel0_001.dsf:266	noel0_001.dsf	266	narration		　拡大されていく視界。照明弾に照らし出された男の顔が真下。	眼前的景象不断放大。被照明弹照亮的男人面孔，就在正下方。
noel0_001.dsf:268	noel0_001.dsf	268	narration		　口を叫ぶ形に開き、しかし彼の声はノエルには届かない。	他张开嘴，作出呐喊的口型，声音却传不到诺艾尔耳中。
noel0_001.dsf:276	noel0_001.dsf	276	narration		　銃口が天を向く。	枪口指向天空。
noel0_001.dsf:278	noel0_001.dsf	278	narration		　滅茶苦茶な発砲で弾丸が爆ぜる。	杂乱无章的枪声中，子弹迸射而出。
noel0_001.dsf:280	noel0_001.dsf	280	narration		　四肢を開く。風を制する。落下の速度をわずかに殺す。重力も引力も支配下において、風圧の力場を叩き潰す。	展开四肢。驾驭风势。稍稍压低下坠速度。将重力与引力一并纳入掌控，击溃风压形成的力场。
noel0_001.dsf:291	noel0_001.dsf	291	narration		　――閃光。	——闪光。
noel0_001.dsf:300	noel0_001.dsf	300	narration		　もしかしたら。	也许。
noel0_001.dsf:302	noel0_001.dsf	302	narration		　地面に激突するまで残り一秒とちょっとだけになった頃、	当距离撞上地面只剩一秒多一点时，
noel0_001.dsf:303	noel0_001.dsf	303	narration		無意識にノエルが眇(すが)めた瞳は肉食獣の獰猛さで男を見据えたかもしれない。	诺艾尔无意识眯起的双眼，或许正以肉食兽般的凶猛凝视着那个男人。
noel0_001.dsf:305	noel0_001.dsf	305	narration		　風圧に歪んだ口元は欲望に濡れた笑みを浮かべたように見えたかもしれない。	被风压扭曲的嘴角，或许看上去正浮现着一抹充满欲望的笑。
noel0_001.dsf:307	noel0_001.dsf	307	narration		　男は、それを見たかもしれない。	那个男人，或许看到了那一幕。
noel0_001.dsf:315	noel0_001.dsf	315	narration		　今宵最初の獲物。刈り取る命の一番目。	今夜的第一个猎物。第一条将被收割的性命。
noel0_001.dsf:317	noel0_001.dsf	317	narration		　長い長い咆哮が、男の叫びを食らい尽くす。	长长、长长的咆哮，将男人的尖叫吞噬殆尽。
noel0_001.dsf:327	noel0_001.dsf	327	narration		　――閃光。	——闪光。
noel0_001.dsf:335	noel0_001.dsf	335	narration		　血が匂って、地獄が生まれた。	血腥味弥漫开来，地狱由此诞生。
noel0_001.dsf:337	noel0_001.dsf	337	narration		　引きちぎれた首は頭部を乗せて、弧を描いて夜空を飛んだ。木にぶちあたって頭蓋が潰れる。	被硬生生扯下的头颅连着一截脖颈，在夜空中划出一道弧线。撞上树干，头骨应声碎裂。
noel0_001.dsf:339	noel0_001.dsf	339	narration		　それは、幹をずるりとすべって落ちた。誰かの血溜まりの中に浸かる。	它沿着树干滑溜溜地坠下，浸进不知是谁留下的血泊。
noel0_001.dsf:341	noel0_001.dsf	341	narration		　はみだした眼球に映る黄金は、月。	突出眼眶的眼球中，映着金色的月亮。
noel0_001.dsf:343	noel0_001.dsf	343	narration		　脳ごと溢れた脳<のうしょう>漿に照る、対の青銀は、獣の目。	在连同脑组织一起淌出的脑浆上，映亮着一对青银色的光——那是野兽的双眼。
noel0_001.dsf:345	noel0_001.dsf	345	narration		　笑う代わりに、四つ足の獣は低く唸る。	四足野兽没有笑，只是低低地咆哮。
noel0_001.dsf:347	noel0_001.dsf	347	narration		　一つ大きく尾を振ると、咥えた臓物を大地に吐き出し、血に塗れた鼻先を舌で舐め清めた。	它猛地甩了一下尾巴，将嘴里叼着的内脏吐到地上，又伸舌舔净了沾满鲜血的鼻尖。
noel0_001.dsf:354	noel0_001.dsf	354	narration		　ここは、地獄。	这里，是地狱。
noel0_001.dsf:356	noel0_001.dsf	356	narration		　獣がヒトを狩る地獄。	野兽狩猎人类的地狱。
noel0_001.dsf:358	noel0_001.dsf	358	narration		　力が魂を滅する地獄。	力量毁灭灵魂的地狱。
noel0_001.dsf:360	noel0_001.dsf	360	narration		　足の踏み場もないほどにヒトの欠片が散乱し、まだ暖かい肉からは、けぶるような湯気が立つ。	人的残片散落得让人无处落脚，尚有余温的鲜肉上，升起烟雾般的热气。
noel0_001.dsf:362	noel0_001.dsf	362	narration		　誰も知らない。	无人知晓。
noel0_001.dsf:364	noel0_001.dsf	364	narration		　誰も許さない。	无人饶恕。
noel0_001.dsf:366	noel0_001.dsf	366	narration		　踏み込んだ者は、引きちぎられる。	踏入此地者，必被撕裂。
noel0_001.dsf:387	noel0_001.dsf	387	narration		　ここは、ノエルの世界。	这里，是诺艾尔的世界。
noel10_000.dsf:19	noel10_000.dsf	19	dialogue	vfnoel10_000kyo000	「……なんでそんなことを、って、思ってるんだろうね」	「……你心里一定在想着，为什么要做出那种事吧。」
noel10_000.dsf:24	noel10_000.dsf	24	dialogue	vfnoel10_000kyo001	「うん……わかんないんだろうね、パパには。……私のことなんか」	「嗯……爸爸你一定不懂吧。……关于我的事。」
noel10_000.dsf:29	noel10_000.dsf	29	dialogue	vfnoel10_000kyo002	「簡単に言うとね、死ぬ前のやけくそ？　最期のいやがらせ、ってところかな？　……ククク」	「简单来说呢，是临死前的自暴自弃？还是最后的恶意报复呢？……库库库」
noel10_000.dsf:34	noel10_000.dsf	34	dialogue	vfnoel10_000kyo003	「私、言ったよね。理理の心臓はあと数ヶ月も持たない、って。だから私が執刀して手術するしかない、って。そしたらパパ、泣いたよね、すっごく」	「我说过吧。理理的心脏撑不过几个月了。所以只能由我主刀做手术。结果爸爸你哭了呢，哭得好厉害。」
noel10_000.dsf:39	noel10_000.dsf	39	dialogue	vfnoel10_000kyo004	「理理を頼む。君にしかあの子は救えない。……ってさ」	「把理理拜托给你了。只有你才能救那孩子。……你是这么说的吧。」
noel10_000.dsf:44	noel10_000.dsf	44	dialogue	vfnoel10_000kyo005	「あのとき、やっぱりこうすることに決めてよかった、って思ったわ」	「那个时候，我果然觉得决定这么做真是太好了。」
noel10_000.dsf:49	noel10_000.dsf	49	dialogue	vfnoel10_000kyo006	「理理、理理、理理、理理、って、そればっかり」	「理理、理理、理理、理理的，满脑子就只有那个。」
noel10_000.dsf:54	noel10_000.dsf	54	dialogue	vfnoel10_000kyo007	「そんなことより私の顔見てよ。真っ青じゃない？　こんなに痩せちゃって……肌だってボロボロ」	「比起那个你看看我的脸啊。这不是一片惨白吗？都瘦成这样了……连皮肤都糟透了。」
noel10_000.dsf:59	noel10_000.dsf	59	dialogue	vfnoel10_000kyo008	「他に言うことないの？　なんでわかんないの？」	「就没有别的话想说了吗？为什么就是不懂呢？」
noel10_000.dsf:64	noel10_000.dsf	64	dialogue	vfnoel10_000kyo009	「私、あと少しで死ぬのよ？　夫婦なのになんで気付いてくれないわけ？　理理なんか健康そのものよ！　死ぬのは私！　なんでわかんないのよっ！　なんでっ！？」	「我再过不久就要死了哦？明明是夫妻为什么你就是察觉不到呢？理理她根本健康得很！要死的人是我！为什么你就是不懂啊！为什么！？」
noel10_000.dsf:69	noel10_000.dsf	69	dialogue	vfnoel10_000kyo010	「……本当に、こうすることにして、よかった……！」	「……决定这么做，真的太好了……！」
noel10_000.dsf:74	noel10_000.dsf	74	dialogue	vfnoel10_000kyo011	「……こんなにパパのことが好きなのに……パパは理理のことばっかり……私なんかどうなったっていいのよね……研究者としての私しかパパは愛してくれなかったのよ……最初からずっと……」	「……明明我这么喜欢爸爸……爸爸却满脑子只有理理……我怎么样都无所谓对吧……爸爸爱过的只有作为研究者的我而已……从一开始就一直如此……」
noel10_000.dsf:79	noel10_000.dsf	79	dialogue	vfnoel10_000kyo012	「理理さえ生めば、私のこと、人間の女として愛してくれるって思ったのに」	「明明以为只要生下理理，你就会把我当成一个女人来爱的」
noel10_000.dsf:84	noel10_000.dsf	84	dialogue	vfnoel10_000kyo013	「――大間違いだったわよっ！」	「——我简直是大错特错啊！」
noel10_000.dsf:89	noel10_000.dsf	89	dialogue	vfnoel10_000kyo014	「あんなもん生まなきゃよかった！　パパは理理だけを愛したんだ！」	「要是没生下那种东西就好了！爸爸爱着的就只有理理！」
noel10_000.dsf:94	noel10_000.dsf	94	dialogue	vfnoel10_000kyo015	「……ああ……。待って。今は気分が悪いの。……だから……うん。理理のこと、嫌いなわけじゃない。これは……ほんと。かわいいと思ってる。ほんと。信じて。……私を嫌わないで……」	「……啊啊……。等等。我现在难受得很。……所以……嗯。我并不是讨厌理理。这是……真的。我觉得她很可爱。真的。相信我。……不要讨厌我……」
noel10_000.dsf:99	noel10_000.dsf	99	dialogue	vfnoel10_000kyo016	「……私……もうボロボロだ……。もうだめなんだよね。……だめなの……」	「……我……已经破破烂烂了……。已经不行了对吧。……不行了……」
noel10_000.dsf:104	noel10_000.dsf	104	dialogue	vfnoel10_000kyo017	「あのカビ。……『白鷺』。欲しいでしょう。私個人の管理下に置かれた、世界を終らせる力」	「那个霉菌。……『白鹭』。你很想要吧。置于我个人管理之下的、足以终结世界的力量。」
noel10_000.dsf:109	noel10_000.dsf	109	dialogue	vfnoel10_000kyo018	「手に入れたらどうする？　廃棄しちゃう？　それとも誰かに売る？　あは、管理機構が一番高く買い取るかもね」	「拿到手之后你要怎么办？直接丢弃掉？还是卖给什么人？啊哈，管理者机构说不定会出最高的价钱买下呢。」
noel10_000.dsf:114	noel10_000.dsf	114	dialogue	vfnoel10_000kyo019	「……私よりも、あれの方が大事でしょう？　正直に言ってよ。そうでしょう？」	「……比起我，那个更重要对吧？老实说出来吧。就是这样吧？」
noel10_000.dsf:119	noel10_000.dsf	119	dialogue	vfnoel10_000kyo020	「……私にはそれがわかる。だから、悲しいの。本当に悲しいのよ……」	「……我是明白这一点的。所以，我好难过。真的好难过啊……」
noel10_000.dsf:124	noel10_000.dsf	124	dialogue	vfnoel10_000kyo021	「こんなに好きなのに……大学の時から、ずっと好きなのに……心が通じない……」	「明明我这么喜欢你……从大学时代起，就一直喜欢你……心却无法相通……」
noel10_000.dsf:129	noel10_000.dsf	129	dialogue	vfnoel10_000kyo022	「世界で一番の科学者になったら結婚してくれるっていったでしょ？」	「你不是说过，只要我成为世界第一的科学家，就会和我结婚吗？」
noel10_000.dsf:134	noel10_000.dsf	134	dialogue	vfnoel10_000kyo023	「……後悔してる。世界で一番の科学者になったら、愛して、って言えばよかった」	「……我好后悔。早知道当时就该说，只要我成为世界第一的科学家，就爱我吧。」
noel10_000.dsf:139	noel10_000.dsf	139	dialogue	vfnoel10_000kyo024	「悲しいの。本当に、悲しいのよ。……誰にも愛されないまま、死ぬのは、悲しい……」	「好难过。真的，好难过啊。……在得不到任何人爱的情况下死去，好悲伤……」
noel10_000.dsf:144	noel10_000.dsf	144	dialogue	vfnoel10_000kyo025	「だから、ね」	「所以呢，」
noel10_000.dsf:149	noel10_000.dsf	149	dialogue	vfnoel10_000kyo026	「……世界でただひとり愛するパパが、私よりも大切にした二つのものを、パパから奪うことにしたの」	「……我决定从世界上我唯一爱着的爸爸那里，夺走比我更被爸爸珍视的两样东西。」
noel10_000.dsf:154	noel10_000.dsf	154	dialogue	vfnoel10_000kyo027	「『白鷺』は、理理の心臓へ」	「『白鹭』放入理理的心脏。」
noel10_000.dsf:159	noel10_000.dsf	159	dialogue	vfnoel10_000kyo028	「『白鷺』を取り出したら、理理は死ぬわ」	「要是把『白鹭』取出来，理理就会死哦。」
noel10_000.dsf:164	noel10_000.dsf	164	dialogue	vfnoel10_000kyo029	「理理が死んで体温が下がれば、『白鷺』も死ぬ」	「理理一旦死去、体温下降的话，『白鹭』也会死。」
noel10_000.dsf:169	noel10_000.dsf	169	dialogue	vfnoel10_000kyo030	「……生かしたまま心臓をくり貫けば、なんとかなるかもね……ククク……あは、あははっ……」	「……要是趁她还活着把心脏挖出来，说不定还有办法呢……库库库……啊哈，啊哈哈……」
noel10_000.dsf:174	noel10_000.dsf	174	dialogue	vfnoel10_000kyo031	「あの二つのものは、共生関係」	「那两样东西，是共生关系」
noel10_000.dsf:179	noel10_000.dsf	179	dialogue	vfnoel10_000kyo032	「この世界を壊すものと、私の世界を壊したもの。……仲良く葬ってあげたのよ」	「毁灭这个世界的东西，与毁灭了我的世界的东西。……我可是把它们好好地葬在一起了呢」
noel10_000.dsf:184	noel10_000.dsf	184	dialogue	vfnoel10_000kyo033	「……パパには理理を殺すことはできないでしょう……？」	「……爸爸是杀不了理理的吧……？」
noel10_000.dsf:189	noel10_000.dsf	189	dialogue	vfnoel10_000kyo034	「私の心を殺すことはできても、さ」	「就算你能杀死我的心，也……」
noel10_000.dsf:194	noel10_000.dsf	194	dialogue	vfnoel10_000kyo035	「……さて。１２月２５日。午前０時８分。……これから理理の手術です。手術終了時間は……午前９時を予定。執刀医、天崎今日子。助手はつけません。使用ユニットは０１。……機材の支援だけで、あとは私一人でやりとげる」	「……那么。12月25日。凌晨0点8分。……接下来是理理的手术。预计手术结束时间……为上午9点。主刀医生，天崎今日子。不配助手。使用单元01。……仅靠器材支援，剩下由我一个人独立完成」
noel10_000.dsf:199	noel10_000.dsf	199	dialogue	vfnoel10_000kyo036	「――地獄に落ちることなんか、少しも怖くないわ」	「——坠入地狱什么的，我一点也不害怕」
noel10_001.dsf:47	noel10_001.dsf	47	narration		　車列は凄まじい速度を保ったまま山道をひた走る。	车队维持着惊人的速度在山路上疾驰。
noel10_001.dsf:51	noel10_001.dsf	51	narration		　このままスピードで振り切ろうとでも言うのだろう、しかしノエルは食いつくようにがむしゃらにその後を追い、凄まじいまでの集中力でバイクを操る。	他们大概是想就这么凭速度甩掉她吧，然而诺艾尔如死咬不放般发疯似地紧追其后，凭着极其惊人的集中力操控着摩托车。
noel10_001.dsf:55	noel10_001.dsf	55	narration		　急カーブも三叉路も正確にトレース、ぴたりと車列の後ろにつけたまま一瞬たりともスピードは緩めない。	无论是急转弯还是三岔路口都精准勾勒轨迹，死死紧贴在车队身后，哪怕一瞬间也不曾放慢速度。
noel10_001.dsf:59	noel10_001.dsf	59	narration		　ただひたすらに理理を追い、瞬きも呼吸も忘れている。	她只是浑然一心追赶理理，连眨眼与呼吸都已遗忘。
noel10_001.dsf:63	noel10_001.dsf	63	narration		　やがて、	终于，
noel10_001.dsf:78	noel10_001.dsf	78	dialogue	vfnoel10_001noe000	「……研究所っ！？」	「……研究所！？」
noel10_001.dsf:82	noel10_001.dsf	82	narration		　森の先に現れたのは、天崎製薬の研究所だった。	出现在森林尽头的，是天崎制药的研究所。
noel10_001.dsf:86	noel10_001.dsf	86	narration		　天崎製薬は理理の父親の会社だ。	天崎制药是理理父亲的公司。
noel10_001.dsf:90	noel10_001.dsf	90	narration		　それがなぜ？	可为什么会是这里？
noel10_001.dsf:94	noel10_001.dsf	94	narration		　理由を問う余裕などあるわけもなく、車列はそのまま敷地内へ侵入する。	根本不可能有余裕去探究理由，车队就这样径直侵入园区之内。
noel10_001.dsf:98	noel10_001.dsf	98	narration		　道路はぽっかりと口をあけた暗<あんきょ>渠へ続き、地下へ下りていくのだろう、吸い込まれるように姿を消す。	道路通向张着大口的暗渠，想必是要降往地下吧，如被吸入般消失了踪影。
noel10_001.dsf:104	noel10_001.dsf	104	narration		　ノエルも続こうとスピードを落とさずに突っ込んでいくが、わずか数メートルに迫ったところで、暗渠の入り口、巨大な隔壁が落下を始める。	诺艾尔也打算跟上去，毫无减速地冲了进去，但在逼近至仅剩几米之处，暗渠入口处的巨大隔壁开始落下。
noel10_001.dsf:109	noel10_001.dsf	109	dialogue	vfnoel10_001noe001	「っく……！」	「可恶……！」
noel10_001.dsf:113	noel10_001.dsf	113	narration		　このままでは間に合わない。	这样下去会赶不及。
noel10_001.dsf:117	noel10_001.dsf	117	narration		　だが停まることはできない。	但决不能停下。
noel10_001.dsf:127	noel10_001.dsf	127	narration		　イチかバチかでアクセルをさらに開け、衝突寸前まで突っ込んで行く。	她孤注一掷地将油门拧得更开，一路猛冲至撞击前的咫尺之遥。
noel10_001.dsf:135	noel10_001.dsf	135	narration		　直前で車体を路面に擦るまで倒す。リアブレーキを全力で踏む。リアタイヤがスライド、ほとんど真横に倒れたまま、すれすれの高さで落下する隔壁の真下を潜り抜ける。	千钧一发之际将车身压低至贴擦路面。全力踩下后刹车。后轮侧滑，几乎以完全横倒的姿势，从极限高度落下的隔壁正下方穿钻过去。
noel10_001.dsf:153	noel10_001.dsf	153	narration		　バイクの後部が隔壁に挟まり、凄まじい轟音、火花が上がる。	摩托车后部被隔壁夹住，爆发出凄厉的轰鸣与火花。
noel10_001.dsf:161	noel10_001.dsf	161	narration		　ハンドルを手放し、ノエルだけが内部へ叩きつけられるように転がり込む。	放开车把，唯有诺艾尔如被狠狠摔打般滚入了内部。
noel10_001.dsf:165	noel10_001.dsf	165	narration		　二回三回と回転し、その勢いのままに体勢を立て直し、振り返りもせず駆け出す。	旋转了两圈、三圈，顺着那股势头重新调整好姿势，连头也不回地奔跑起来。
noel10_001.dsf:169	noel10_001.dsf	169	narration		　身を低くし、獣の姿勢で風の速度を生む。	压低身体，以野兽的姿势爆发风一般的速度。
noel10_001.dsf:173	noel10_001.dsf	173	narration		　トンネルのような暗渠を駆け抜け、理理に一歩でも、一ミリでも近づくのだ。	穿过如隧道般的暗渠，只为离理理再近一步、哪怕一毫米。
noel10_001.dsf:177	noel10_001.dsf	177	narration		　氷のように全身は冷え切っていた。	她的全身如冰块般冻得通透。
noel10_001.dsf:181	noel10_001.dsf	181	narration		　頭も。	大脑也是。
noel10_001.dsf:185	noel10_001.dsf	185	narration		　心もだ。	内心亦然。
noel10_001.dsf:189	noel10_001.dsf	189	narration		　ただ爆発するような鼓動と、弾けそうな筋肉、箍の外れた神経、限界を超えた腱、崩れ落ちそうな骨格。	唯有如爆裂般的鼓动、几乎撑破的肌肉、失控脱轨的神经、超越极限的腱，以及濒临崩塌的骨骼。
noel10_001.dsf:193	noel10_001.dsf	193	narration		　それを制御するだけ。	仅仅是控制着它们。
noel10_001.dsf:197	noel10_001.dsf	197	narration		　それだけ。	仅此而已。
noel10_001.dsf:201	noel10_001.dsf	201	narration		　なにも見ない。	什么也不看。
noel10_001.dsf:205	noel10_001.dsf	205	narration		　なにも聞かない。	什么也不听。
noel10_001.dsf:209	noel10_001.dsf	209	narration		　走ればいい。走ればいいのだ。その先にきっと――	跑下去就好。只要奔跑就行了。在那前方一定——
noel10_001.dsf:222	noel10_001.dsf	222	dialogue	vfnoel10_001noe002	「ああっ！？」	「啊啊！？」
noel10_001.dsf:226	noel10_001.dsf	226	narration		　希望が打ち砕かれる。	希望碎裂了。
noel10_001.dsf:230	noel10_001.dsf	230	narration		　停車している車が一台。	有一辆停着的车。
